Player,Club,Pos,service_time
"Cano,Robinson",NYY,2b,2.153
"Church,Ryan",NYM,of,2.152
"Sherrill,George",SEA,p,2.147
"Tallet,Brian",TOR,p,2.146
"Howard,Ryan",PHI,1b,2.145
"Kotchman,Casey",LAA,1b,2.144
"Lopez,Jose",SEA,ss/2b,2.140
"Hill,Aaron",TOR,ss,2.136
"Coffey,Todd",CIN,p,2.135
"Weeks,Rickie",MIL,2b,2.131
"Johnson,Kelly",ATL,inf,2.127
"Kensing,Logan",FLA,rhp,2.123
"Willingham,Josh",FLA,of,2.123
"Barmes,Clint",COL,ss,2.122
"Peralta,Joel",KCA,p,2.121
"Doumit,Ryan",PIT,c,2.120
"Grilli,Jason",DET,p,2.118
"Loe,Kameron",TEX,p,2.117
"Majewski,Gary",CIN,p,2.117
"McCann,Brian",ATL,c,2.117
"Gross,Gabe",MIL,of,2.114
"Ray,Chris",BAL,rhp,2.112
"Thompson,Brad",STL,p,2.110
"Ludwick,Ryan",STL,of,2.109
"Gonzalez,Adrian",SD,1b,2.108
"Johnson,Dan",OAK,1b,2.108
"Rodriguez,Wandy",HOU,p,2.105
"Santana,Ervin",LAA,p,2.104
"Davies,Kyle",KCA,p,2.103
"Navarro,Dioner",TB,c,2.103
"Bowen,Rob",OAK,c,2.102
"Dohmann,Scott",TB,p,2.102
"Hairston,Scott",SD,of,2.102
"Olsen,Scott",FLA,p,2.101
"Bell,Heath",SD,p,2.099
"Dickey,R.A.",SEA,p,2.099
"Duke,Zach",PIT,p,2.094
"Victorino,Shane",PHI,of,2.092
"Cabrera,Fernando",BAL,rhp,2.091
"Jenks,Bobby",CWS,rhp,2.090
"Accardo,Jeremy",TOR,p,2.088
"Francoeur,Jeff",ATL,of,2.088
"Snell (Oquendo),Ian",PIT,p,2.088
"Bartlett,Jason",TB,ss,2.086
"Encarnacion,Edwin",CIN,3b,2.085
"Messenger,Randy",SF,p,2.084
"Van Benschoten,John",PIT,p-1b,2.079
"Granderson,Curtis",DET,of,2.077
"Duffy,Chris",PIT,of,2.074
"Hammock,Rob",ARZ,c,2.073
"Olmedo,Ranier",TOR,inf,2.071
"Jackson,Edwin",TB,p,2.070
"Fielder,Prince",MIL,1b,2.068
"Betancourt,Yuniesky",SEA,2b,2.067
"Jackson,Conor",ARZ,3b,2.067
"Gathright,Joey",KCA,of,2.064
"Papelbon,Jonathan",BOS,p,2.064
"Hernandez,Felix",SEA,p,2.060
"Ross,Cody",FLA,of,2.058
"Sisco,Andrew",CWS,lhp,2.057
"McLouth,Nate",PIT,of,2.056
"McCarthy,Brandon",TEX,p,2.055
"Murton,Matt",CHC,of,2.055
"Reed,Jeremy",SEA,of,2.055
"Wilson,C.J.",TEX,p,2.055
"Jacobs,Mike",FLA,1b,2.047
"Rodriguez,Luis",SD,inf,2.047
"Burgos,Ambiorix",NYM,rhp,2.041
"Adams,Russ",TOR,ss,2.039
"Burke,Jamie",SEA,c,2.038
"Cain,Matt",SF,p,2.038
"Hart,Corey",MIL,inf,2.038
"Maholm,Paul",PIT,p,2.037
"Bynum,Freddie",BAL,of,2.035
"Dobbs,Greg",PHI,inf,2.035
"Hermida,Jeremy",FLA,of,2.033
"Zimmerman,Ryan",WAS,3b,2.032
"League,Brandon",TOR,p,2.031
"Liriano,Francisco",MIN,p,2.031
"Cedeno,Ronny",CHC,inf,2.029
"Wainwright,Adam",STL,p,2.027
"Johnson,Josh",FLA,p,2.026
"Shoppach,Kelly",CLE,c,2.021
"Broxton,Jonathan",LAD,p,2.020
"James,Chuck",ATL,p,2.018
"Capps,Matt",PIT,p,2.017
"Hensley,Clay",SD,p,2.017
"Paulino,Ronny",PIT,c,2.017
"Bale,John",KCA,p,2.016
"Ramirez,Hanley",FLA,ss,2.014
"Maine,John",NYM,rhp,2.013
"Condrey,Clay",PHI,rhp,2.012
"Medders,Brandon",ARZ,p,2.012
"Quintero,Humberto",HOU,c,2.006
"Johnson,Tyler",STL,p,2.005
"Cust,Jack",OAK,of,2.002
"Shealy,Ryan",KCA,inf,2.002
"Verlander,Justin",DET,p,2.002
"Barfield,Josh",CLE,2b,2.000
"Gonzalez,Edgar",ARZ,p,2.000
"Johjima,Kenji",SEA,c,2.000
"Kinsler,Ian",TEX,ss,2.000
"Markasis,Nick",BAL,of,2.000
"Saito,Takashi",LAD,p,2.000
"Uggla,Dan",FLA,2b,2.000
"Zumaya,Joel",DET,p,2.000
"Gotay,Ruben",NYM,2b,1.170
"Carmona,Fausta",CLE,p,1.169
"Bautista,Denny",DET,p,1.168
"Capellan,Jose",COL,p,1.168
"McBride,Macay",DET,p,1.165
"Bannister,Brian",KCA,p,1.158
"Cabrera,Melky",NYY,of,1.157
"Ethier,Andre",LAD,of,1.153
"Hill,Shawn",WAS,rhp,1.153
"Napoli,Mike",LAA,c,1.151
"Martin,Russell",LAD,c,1.150
"Hill,Rich",CHC,p,1.149
"Taschner,Jack",SF,p,1.146
"Duncan,Chris",STL,of-1b,1.144
"Pagan,Angel",NYM,of,1.144
"Scott,Luke",BAL,of,1.144
"Hamels,Cole",PHI,lhp,1.143
"Nolasco,Ricky",FLA,p,1.142
"Tejeda,Robinson",TEX,p,1.141
"Buchholz,Taylor",COL,p,1.140
"Rivera,Saul",WAS,rhp,1.137
"Delcarmen,Manny",BOS,p,1.133
"Bergmann,Jason",WAS,rhp,1.130
"Guthrie,Jeremy",BAL,rhp,1.130
"Weaver,Jared",LAA,p,1.129
"Baker,Scott",MIN,rhp,1.128
"Marcum,Shaun",TOR,rhp,1.128
"Upton,B.J.",TB,ss,1.126
"Green,Sean",SEA,p,1.125
"Shields,Jamie",TB,p,1.125
"Alfonzo,Eliezer",SF,c,1.122
"Boyer,Blaine",ATL,p,1.122
"Tankersley,Taylor",FLA,p,1.119
"Theriot,Ryan",CHC,inf,1.118
"Bootcheck,Chris",LAA,p,1.115
"Kuo,Hong-Chih",LAD,p,1.114
"Robles,Oscar",SD,inf,1.114
"Loewen,Adam",BAL,lhp,1.113
"McGowan,Dustin",TOR,p,1.113
"Ramirez,Ramon",COL,p,1.113
"Bray,Bill",CIN,p,1.112
"Feldman,Scott",TEX,p,1.112
"Harris,Brendan",MIN,inf,1.112
"Gorzelanny,Tom",PIT,lhp,1.111
"Billingsley,Chad",LAD,p,1.110
"Burnett,Sean",PIT,p,1.109
"Costa,Shane",KCA,of,1.108
"Nunez,Leo",KCA,p,1.108
"Denorfia,Chris",OAK,of,1.107
"Meredith,Cla",SD,p,1.107
"Lugo,Ruddy",OAK,p,1.103
"Bonser,Boof",MIN,p,1.102
"Guzman,Freddy",DET,of,1.102
"Kendrick,Howie",LAA,2b,1.101
"Guzman,Angel",CHC,p,1.095
"Janssen,Casey",TOR,p,1.094
"Wilson,Josh",PIT,inf,1.094
"Garko,Ryan",CLE,c,1.091
"Thorman,Scott",ATL,1b,1.090
"Reyes,Anthony",STL,p,1.089
"Rosario,Francisco",PHI,rhp,1.089
"Neshek,Pat",MIN,p,1.087
"Aybar,Erick",LAA,ss,1.086
"Orvella,Chad",TB,p,1.086
"Pena Jr.,Tony",KCA,ss,1.085
"Leicester,Jon",BAL,rhp,1.084
"Marmol,Carlos",CHC,p,1.084
"Frandsen,Kevin",SF,2b-ss,1.083
"Pinto,Renyel",FLA,p,1.083
"Logan,Boone",CWS,lhp,1.081
"Rivera,Mike",MIL,c,1.081
"Gutierrez,Franklin",CLE,of,1.080
"Lowe,Mark",SEA,p,1.080
"Martinez,Carlos",FLA,p,1.080
"Drew,Stephen",ARZ,ss,1.079
"Anderson,Brian",CWS,of,1.078
"Miner,Zach",DET,p,1.078
"Coste,Chris",PHI,c,1.077
"Corpas,Manuel",COL,p,1.076
"Pena,Tony",ARZ,p,1.076
"Abercrombie,Reggie",HOU,of,1.072
"Baek,Cha Seung",SEA,p,1.072
"Lester,Jon",BOS,p,1.072
"Spilborghs,Ryan",COL,of,1.072
"Willits,Reggie",LAA,of,1.072
"Mathieson,Scott",PHI,rhp,1.071
"Sanchez,Jonathan",SF,p,1.071
"Mastny,Tom",CLE,p,1.070
"Ruiz,Carlos",PHI,c,1.069
"Houlton,D.J.",LAD,p,1.066
"Morse,Michael",SEA,ss,1.066
"Fahey,Brandon",BAL,ss,1.065
"Quentin,Carlos",CWS,of,1.065
"Gardner,Lee",FLA,p,1.062
"Moylan,Peter",ATL,p,1.061
"Giarratano,Tony",DET,ss,1.060
"Rheinecker,John",TEX,p,1.060
"Kinney,Josh",STL,p,1.058
"Castro,Fabio",PHI,lhp,1.056
